,Unnamed: 0,disentanglement,avg_corr_coef,IOSS,IRS,gaussian_total_correlation,gaussian_wasserstein_dependency,dataset,IOSS_classify,IRS_classify,gaussian_total_correlation_classify,gaussian_wasserstein_dependency_classify,avg_corr_coef_classify
0,0,entangled,0.1904646517886882,1.1448742952965316,0.5860807380726992,8.147155753213235,0.7937202275967058,mpi3d,True,True,True,True,False
1,1,disentangled,0.835793697247714,0.895285305085203,1.0,4.219168475887631,0.2946372118043429,mpi3d,True,True,True,True,False
0,0,entangled,0.208026462672787,0.4958456748004293,0.7131688381849115,0.1858085100747097,0.050259971436851,cars3d,True,True,False,True,False
1,1,disentangled,0.9006899008669846,0.4221485225526545,1.0,1.4193139340110277,0.0172262304909772,cars3d,True,True,False,True,False
0,0,entangled,0.1745008595979429,0.7450514177539177,0.6091957987081213,2.319870876967252,0.4285946771119445,smallnorb,True,True,False,True,False
1,1,disentangled,0.8978284491190527,0.6039954895997734,1.0,2.3587557967792296,0.2649612461219316,smallnorb,True,True,False,True,False
0,0,entangled,0.2029557206602798,0.6403073058532823,0.468474554965753,0.2989866040525863,0.0541361679147864,smallnorb,True,True,False,False,False
1,1,disentangled,0.9084832400179218,0.6224387121926369,1.0,2.5176405056489326,0.2794794251402351,smallnorb,True,True,False,False,False
0,0,entangled,0.4867676829730945,0.522090927764546,0.6789471449257948,0.1760847501031919,0.0578492380565633,cars3d,True,True,False,True,False
1,1,disentangled,0.9097169467831664,0.4444938903151896,1.0,1.5005077104808873,0.0179171021460203,cars3d,True,True,False,True,False
0,0,entangled,0.1607977861353379,1.0661774642076678,0.481972490254932,5.524099600695299,0.5007878962711304,mpi3d,True,True,True,True,False
1,1,disentangled,0.8394352523707143,0.8723300164528626,1.0,4.293888646917568,0.2937669010475662,mpi3d,True,True,True,True,False
0,0,entangled,0.0858351430084988,1.0818120728070657,0.5119824801380397,6.3274374347430165,0.6261044395768313,mpi3d,True,True,True,True,False
1,1,disentangled,0.8363173841218254,0.8962579792334523,1.0,4.281632551361769,0.3005517351859096,mpi3d,True,True,True,True,False
0,0,entangled,0.898501841788952,0.6018543032073329,0.7569742211441097,1.4203307159141054,0.3547015523125483,cars3d,True,True,False,True,False
1,1,disentangled,0.9171566375536622,0.5037561859587202,1.0,1.590953932773413,0.0185268319035378,cars3d,True,True,False,True,False
0,0,entangled,0.1438588504798015,0.7963947597271456,0.5526482587228085,1.592719771025087,0.3650306322085455,smallnorb,True,True,False,True,False
1,1,disentangled,0.899348733126653,0.5934948636547934,1.0,2.3762635460947257,0.2699972191925693,smallnorb,True,True,False,True,False
